Unit_Cell_Volume_Å3,Test_Temperature_K,Initial_Hydrogen_Pressure_MPa,Hydrogen_Absorption_Cycles,Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Ce,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Y,Element_at_pct_A,Element_at_pct_B,Element_at_pct_Ni,Element_at_pct_Mo,Additive_Cu,Additive_Fe,Additive_Mo,Additive_Ni,Additive_V,Additive_Zr,Second_Phase_Ti4Mn2O,Second_Phase_CeO2,Second_Phase_TiCu,Second_Phase_Y2O3,Second_Phase_BCC,Lattice_Parameter_a_Å,Lattice_Parameter_c_Å,Max_H2_Uptake_wt_pct
164.82,243,10.0,2,35.48387096774194,0.0,16.12903225806452,0.0,0.0,38.70967741935484,0.0,0.0,9.67741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8788,7.9955,1.46
163.89,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,35.48387096774194,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.868,7.9858,1.72
163.84,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,32.25806451612903,0.0,0.0,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8673,7.9857,1.65
163.78,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,29.03225806451613,0.0,0.0,9.67741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8667,7.9844,1.48
164.05,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,38.70967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8693,7.9891,1.92
165.2,243,10.0,2,35.48387096774194,0.0,24.19354838709677,0.0,0.0,38.70967741935484,0.0,0.0,0.0,1.612903225806452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8824,8.0021,1.71
165.98,243,10.0,2,35.48387096774194,0.0,22.58064516129032,0.0,0.0,38.70967741935484,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8918,8.0092,1.42
166.52,243,10.0,2,35.48387096774194,0.0,20.96774193548387,0.0,0.0,38.70967741935484,0.0,0.0,0.0,4.838709677419355,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8984,8.0136,1.58
165.29,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,37.09677419354838,0.0,0.0,0.0,1.612903225806452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8829,8.0051,1.77
165.37,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,35.48387096774194,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8852,8.0013,1.49
166.1,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,33.87096774193549,0.0,0.0,0.0,4.838709677419355,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8936,8.0093,1.4
164.07,243,10.0,2,35.48387096774194,0.0,22.58064516129032,0.0,0.0,38.70967741935484,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8701,7.9877,1.75
164.94,243,10.0,2,33.87096774193549,0.0,22.58064516129032,0.0,1.612903225806452,38.70967741935484,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8783,8.0032,1.79
166.28,243,10.0,2,32.25806451612903,0.0,22.58064516129032,0.0,3.225806451612903,38.70967741935484,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,4.8917,8.0242,1.87
167.17,243,10.0,2,30.64516129032258,0.0,22.58064516129032,0.0,4.838709677419355,38.70967741935484,0.0,0.0,3.225806451612904,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.9002,8.0389,1.85
165.29,243,10.0,2,35.48387096774194,0.0,25.80645161290322,0.0,0.0,37.09677419354838,0.0,0.0,0.0,1.612903225806452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8829,8.0051,1.77
165.54,243,10.0,2,33.87096774193549,0.0,25.80645161290322,0.0,1.612903225806452,37.09677419354838,0.0,0.0,0.0,1.612903225806452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.885,8.01,1.82
166.41,243,10.0,2,32.25806451612903,0.0,25.80645161290322,0.0,3.225806451612903,37.09677419354838,0.0,0.0,0.0,1.612903225806452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.8926,8.0272,1.88
172.52,298,5.0,2,20.0,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.9505,8.1287,1.79
172.52,323,5.0,2,20.0,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4.9505,8.1287,1.69
172.52,348,5.0,2,20.0,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9505,8.1287,1.59
172.66,298,5.0,2,19.6,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9517,8.1311,1.95
172.66,323,5.0,2,19.6,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9517,8.1311,1.88
172.66,348,5.0,2,19.6,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9517,8.1311,1.81
172.67,298,5.0,2,19.0,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9518,8.1313,1.96
172.67,323,5.0,2,19.0,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9518,8.1313,1.88
172.67,348,5.0,2,19.0,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9518,8.1313,1.81
172.97,298,5.0,2,18.4,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9537,8.1393,1.98
172.97,323,5.0,2,18.4,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9537,8.1393,1.91
172.97,348,5.0,2,18.4,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9537,8.1393,1.84
173.31,298,5.0,2,18.0,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9557,8.1486,1.9
173.31,323,5.0,2,18.0,0.0,46.66666666666666,0.0,13.33333333333333,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,4.9557,8.1486,1.84
172.97,298,5.0,2,9.200000000000001,0.0,23.33333333333333,0.0,6.666666666666667,10.0,0.0,0.0,0.0,0.0,0.8,16.66666666666666,33.33333333333333,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9537,8.1393,1.98
172.92,303,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9828,8.0438,2.01
173.53,303,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9901,8.0482,2.06
173.68,303,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9918,8.0495,2.09
173.73,303,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9925,8.0499,2.06
174.25,303,5.0,2,33.89830508474576,15.25423728813559,50.84745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,4.9997,8.0505,1.79
171.98,298,3.0,1,20.79207920792079,0.9900990099009901,0.0,0.0,20.79207920792079,0.0,40.5940594059406,0.0,0.0,0.0,0.0,0.0,0.0,16.83168316831683,0.0,0,0,0,0,0,0,0,0,0,0,1,4.961,8.068,1.26
171.98,298,3.0,2,20.79207920792079,0.9900990099009901,0.0,0.0,20.79207920792079,0.0,40.5940594059406,0.0,0.0,0.0,0.0,0.0,0.0,16.83168316831683,0.0,0,0,0,0,0,0,0,0,0,0,1,4.961,8.068,1.23
173.31,298,3.0,1,20.58823529411764,6.666666666666667,0.0,0.0,20.58823529411764,0.0,29.01960784313726,0.0,0.0,0.0,0.0,0.0,0.0,23.13725490196078,0.0,0,0,0,0,0,0,0,0,0,0,1,4.974,8.088,1.58
