Unit_Cell_Volume_Å3,Test_Temperature_K,Initial_Hydrogen_Pressure_MPa,Hydrogen_Absorption_Cycles,Element_at_pct_Al,Element_at_pct_Ce,Element_at_pct_Co,Element_at_pct_Cr,Element_at_pct_Cu,Element_at_pct_Fe,Element_at_pct_Mn,Element_at_pct_Mo,Element_at_pct_Nb,Element_at_pct_Ni,Element_at_pct_Ta,Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Y,Element_at_pct_Zr,Additive_Al,Additive_Ce,Additive_Cr,Additive_Cu,Additive_Mn,Additive_Mo,Additive_Ni,Additive_Ta,Additive_Zr,Second_Phase_C14_Laves,Second_Phase_Ce_Phase,Second_Phase_Ni,Second_Phase_TiFe2,Second_Phase_TiMn2,Second_Phase_Ti2Fe,Second_Phase_Ti4_FeCu_2Ox,Second_Phase_Ti4Fe,Second_Phase_Ti4Fe2O,Second_Phase_Y,Second_Phase_ZrMn2,Second_Phase_FeCr,Second_Phase_Alpha_Ti,Second_Phase_Beta_Ti,Max_H2_Uptake_wt_pct
26.44,333,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.39
26.44,353,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.17
26.58,298,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.77
26.58,313,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.77
26.58,333,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.58
26.58,353,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.22
26.67,298,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.41
26.67,313,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.43
26.67,333,4.0,2,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.39
30.51,303,2.5,10,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94
