Element_at_pct_Ti,Element_at_pct_V,Element_at_pct_Mn,Element_at_pct_Zr,Element_at_pct_Cr,Element_at_pct_Fe,Element_at_pct_Nb,Element_at_pct_Cu,Element_at_pct_Al,Element_at_pct_Ni,Element_at_pct_Mo,Element_at_pct_Ce,Element_at_pct_Y,Predicted_Capacity_wt
37.3,28.4,7.8,6.9,3.9,10.8,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0643648465520865
38.4,28.3,10.1,7.1,0.0,10.1,2.0,2.0,0.0,1.0,1.0,0.0,0.0,3.064310652311972
37.5,28.1,6.2,3.1,6.2,8.3,4.2,0.0,1.0,4.2,1.0,0.0,0.0,3.0642288095800057
39.6,26.7,7.9,5.0,1.0,9.9,0.0,4.0,1.0,4.0,1.0,0.0,0.0,3.0640795015131226
40.0,29.0,7.0,5.0,4.0,9.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,3.063968449650279
40.2,25.8,12.4,4.1,3.1,10.3,3.1,0.0,1.0,0.0,0.0,0.0,0.0,3.063815774949802
38.1,24.7,8.2,3.1,3.1,12.4,4.1,0.0,2.1,3.1,1.0,0.0,0.0,3.063806277155718
38.6,28.7,6.9,5.0,1.0,12.9,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.063527145462488
37.6,25.7,10.9,3.0,1.0,12.9,2.0,0.0,3.0,3.0,1.0,0.0,0.0,3.06349353269321
37.8,31.6,6.1,6.1,1.0,8.2,3.1,2.0,1.0,3.1,0.0,0.0,0.0,3.0632379272397166
40.6,27.7,7.9,6.9,0.0,8.9,0.0,4.0,2.0,2.0,0.0,0.0,0.0,3.062901676579708
37.6,24.8,7.9,4.0,5.0,10.9,1.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0627044909981374
40.6,24.8,8.9,3.0,1.0,9.9,1.0,4.0,2.0,4.0,1.0,0.0,0.0,3.0626621203881195
38.6,24.8,10.9,3.0,5.0,9.9,2.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0623546589320685
40.4,26.0,8.7,3.8,0.0,14.4,1.0,0.0,1.0,4.8,0.0,0.0,0.0,3.0623301309984887
39.8,25.5,11.2,3.1,3.1,8.2,1.0,0.0,3.1,2.0,3.1,0.0,0.0,3.0622225059536134
37.8,27.6,7.1,4.1,6.1,11.2,1.0,3.1,1.0,1.0,0.0,0.0,0.0,3.06220068103209
37.8,26.5,8.2,8.2,1.0,10.2,4.1,0.0,0.0,0.0,4.1,0.0,0.0,3.06212465060305
38.5,26.9,7.7,7.7,1.0,9.6,1.0,1.0,0.0,3.8,2.9,0.0,0.0,3.061891380018768
37.6,25.7,7.9,4.0,5.0,8.9,0.0,2.0,0.0,4.0,5.0,0.0,0.0,3.0618825116516724
38.1,27.6,6.7,5.7,1.9,15.2,0.0,0.0,1.0,0.0,3.8,0.0,0.0,3.0618297323138455
37.5,29.8,10.6,4.8,0.0,8.7,0.0,2.9,1.9,3.8,0.0,0.0,0.0,3.0616376698446923
37.1,27.6,14.3,5.7,0.0,9.5,0.0,0.0,3.8,1.0,1.0,0.0,0.0,3.061476982605733
38.2,28.4,6.9,5.9,3.9,8.8,0.0,2.0,2.9,0.0,2.9,0.0,0.0,3.0613380381522663
40.8,26.5,6.1,3.1,1.0,10.2,3.1,4.1,1.0,2.0,2.0,0.0,0.0,3.061111235287315
37.8,28.6,7.1,7.1,2.0,11.2,1.0,1.0,0.0,4.1,0.0,0.0,0.0,3.0607390255865434
38.5,26.9,8.7,6.7,8.7,8.7,0.0,0.0,1.9,0.0,0.0,0.0,0.0,3.0604903534895387
39.0,30.5,7.6,6.7,3.8,8.6,0.0,1.0,0.0,1.9,1.0,0.0,0.0,3.0600360094973835
39.2,24.5,10.8,3.9,4.9,10.8,1.0,3.9,0.0,0.0,1.0,0.0,0.0,3.0599616605674926
37.8,26.5,13.3,5.1,0.0,13.3,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.059950122151585
41.1,27.4,6.3,5.3,6.3,9.5,2.1,0.0,0.0,2.1,0.0,0.0,0.0,3.0598291230203354
39.4,24.2,10.1,4.0,7.1,8.1,1.0,0.0,1.0,2.0,3.0,0.0,0.0,3.059762725643335
40.0,24.8,11.4,3.8,1.0,8.6,4.8,0.0,1.0,4.8,0.0,0.0,0.0,3.0596571385032085
40.0,24.2,10.5,3.2,2.1,9.5,3.2,1.1,4.2,1.1,1.1,0.0,0.0,3.0595449119989215
38.8,26.5,9.2,9.2,1.0,9.2,3.1,0.0,1.0,1.0,1.0,0.0,0.0,3.059503839112919
40.4,27.3,6.1,4.0,2.0,11.1,2.0,1.0,3.0,0.0,3.0,0.0,0.0,3.059502084943103
42.0,25.0,8.0,3.0,6.0,9.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,3.059029676637625
37.6,26.7,7.9,5.9,0.0,11.9,0.0,3.0,4.0,2.0,1.0,0.0,0.0,3.0587692373395052
37.9,24.2,11.6,3.2,8.4,8.4,2.1,1.1,3.2,0.0,0.0,0.0,0.0,3.0587649195602244
